8,0.089088,2.229258,3.762959,0.004233
12,0.042624,0.821045,10.216993,0.024904
16,0.044384,0.759125,11.050368,0.046964
20,0.046464,0.770655,10.885030,0.071433
24,0.044576,0.978954,8.568949,0.080334
28,0.043904,0.892359,9.400487,0.119269
32,0.044064,0.807167,10.392654,0.171479
36,0.048480,0.971701,8.632911,0.179672
40,0.048704,1.052477,7.970345,0.204240
44,0.047456,0.976691,8.588804,0.265716
48,0.047776,0.724220,11.582960,0.425674
52,0.050304,0.840944,9.975225,0.429558
56,0.048928,0.918473,9.133210,0.455519
60,0.050528,19.692826,0.425973,0.024360
64,0.048672,1.009450,8.310075,0.540155
